Country,Total number of hemophilia B patients,0-4,5-13,14-18,19-44,45+,Age not known
Albania,40,0%,10%,5%,65%,20%,0%
Algeria,565,4%,19%,17%,41%,19%,0%
Argentina,390,2%,13%,11%,49%,23%,2%
Armenia,34,32%,21%,6%,21%,21%,0%
Australia,571,5%,9%,9%,36%,41%,0%
Austria,151,6%,13%,11%,40%,29%,0%
Bahamas,1,0%,0%,0%,100%,0%,0%
Bahrain,12,8%,33%,17%,8%,33%,0%
Bangladesh,499,16%,35%,22%,23%,4%,0%
Belarus,126,4%,13%,5%,79%,0%,0%
Belgium,268,1%,9%,7%,31%,51%,0%
Belize,5,0%,0%,0%,100%,0%,0%
Bolivia,37,24%,32%,5%,35%,3%,0%
Botswana,8,0%,25%,38%,25%,13%,0%
Brazil,"2,277",4%,13%,9%,50%,25%,0%
Cambodia,50,14%,32%,22%,26%,6%,0%
Cameroon,35,23%,37%,14%,26%,0%,0%
Canada,758,3%,10%,6%,41%,40%,0%
Chile,207,6%,14%,9%,50%,22%,0%
Colombia,750,5%,15%,9%,55%,16%,0%
"Congo, Democraticrepublic of",15,27%,33%,20%,13%,7%,0%
C̫te d'Ivoire,18,11%,39%,28%,22%,0%,0%
Croatia,67,0%,15%,9%,48%,24%,4%
Cuba,82,5%,16%,10%,41%,28%,0%
Czechia,144,4%,11%,10%,32%,42%,0%
Denmark,117,2%,8%,4%,40%,39%,7%
Dominican Republic,41,0%,5%,5%,73%,15%,2%
Egypt,"1,330",6%,18%,13%,54%,10%,0%
El Salvador,12,17%,58%,25%,0%,0%,0%
Eritrea,8,13%,38%,0%,50%,0%,0%
Ethiopia,50,8%,28%,16%,46%,2%,0%
France,"1,940",5%,14%,10%,36%,35%,0%
Georgia,62,8%,19%,8%,37%,27%,0%
Ghana,33,30%,42%,18%,9%,0%,0%
Greece,194,3%,9%,6%,32%,51%,0%
Guyana,2,0%,50%,0%,0%,50%,0%
Honduras,33,9%,27%,15%,42%,3%,3%
Hong Kong,109,1%,3%,3%,8%,85%,0%
Hungary,255,3%,9%,3%,36%,49%,0%
India,"3,687",2%,13%,10%,50%,14%,11%
Indonesia,476,10%,33%,20%,33%,2%,3%
Iran,"1,282",2%,10%,6%,39%,19%,26%
Iraq,686,18%,35%,24%,17%,6%,0%
Ireland,245,5%,10%,8%,43%,33%,0%
Israel,114,19%,15%,15%,34%,17%,0%
Japan,"1,318",4%,12%,5%,38%,40%,1%
Kenya,179,11%,39%,25%,23%,2%,0%
"Korea, Republic of",472,1%,11%,8%,50%,31%,0%
Kyrgyzstan,83,22%,29%,13%,30%,6%,0%
Latvia,21,0%,14%,0%,0%,19%,67%
Lebanon,56,4%,23%,4%,55%,14%,0%
Lesotho,1,0%,0%,0%,100%,0%,0%
Libya,32,13%,34%,16%,28%,9%,0%
Lithuania,30,0%,0%,0%,0%,0%,100%
Macedonia,203,1%,2%,5%,42%,39%,11%
Madagascar,80,10%,39%,20%,26%,5%,0%
Malawi,6,0%,17%,33%,50%,0%,0%
Malaysia,206,11%,25%,11%,39%,13%,1%
Mali,19,21%,53%,11%,16%,0%,0%
Mauritania,29,14%,48%,14%,21%,3%,0%
Mauritius,10,10%,20%,0%,60%,10%,0%
Mexico,792,1%,9%,10%,53%,20%,7%
Mongolia,36,14%,31%,11%,39%,0%,6%
Morocco,151,8%,26%,15%,39%,5%,7%
Myanmar,145,28%,30%,14%,21%,4%,3%
Nepal,123,10%,32%,13%,31%,4%,11%
Netherlands,232,3%,13%,5%,38%,40%,0%
New Zealand,144,2%,3%,0%,6%,12%,77%
Nigeria,34,9%,50%,18%,12%,3%,9%
Norway,116,4%,13%,9%,41%,34%,0%
Palestine,64,8%,20%,3%,38%,14%,17%
Panama,39,10%,15%,8%,51%,15%,0%
Paraguay,36,8%,19%,11%,44%,14%,3%
Philippines,217,3%,15%,9%,55%,9%,10%
Portugal,240,1%,8%,4%,39%,30%,18%
Qatar,11,27%,9%,27%,27%,9%,0%
Rwanda,28,11%,54%,21%,14%,0%,0%
Saudi Arabia,306,22%,36%,14%,27%,1%,0%
Senegal,58,7%,45%,29%,16%,3%,0%
Serbia,97,6%,12%,8%,47%,26%,0%
Singapore,50,2%,10%,14%,40%,34%,0%
Slovakia,95,2%,18%,9%,39%,32%,0%
Slovenia,34,3%,3%,12%,35%,47%,0%
South Africa,398,4%,14%,12%,42%,27%,2%
Spain,296,2%,9%,4%,36%,35%,14%
Sri Lanka,253,22%,19%,7%,7%,8%,38%
Sudan,294,20%,39%,16%,22%,2%,0%
Suriname,2,0%,0%,0%,50%,50%,0%
Sweden,232,2%,11%,9%,39%,39%,0%
Syria,132,13%,30%,19%,32%,5%,2%
Thailand,247,12%,24%,17%,28%,18%,0%
The Gambia,13,0%,46%,31%,23%,0%,0%
Togo,2,0%,0%,0%,100%,0%,0%
Trinidad and Tobago,13,0%,23%,8%,46%,23%,0%
Uganda,55,7%,33%,27%,33%,0%,0%
United Kingdom,"1,779",5%,14%,7%,36%,38%,0%
"United States ofAmerica","4,195",10%,22%,10%,34%,25%,0%
Uruguay,42,7%,24%,12%,45%,12%,0%
Uzbekistan,215,26%,21%,9%,39%,5%,0%
Venezuela,629,2%,8%,8%,40%,28%,14%
Vietnam,795,5%,20%,11%,50%,14%,0%
